# gunzip -c exp/mono_t10/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon Feb 25 15:35:46 EST 2019
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.6,55) frames.
Overall, ah accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,17) frames.
Overall, p accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,10) frames.
Overall, b accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,7) frames.
Overall, w accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,18) frames.
Overall, ey accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,21) frames.
Overall, ae accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,19) frames.
Overall, dh accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,9) frames.
Overall, v accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,10) frames.
Overall, ay accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.3,25) frames.
Overall, aa accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.1,20) frames.
Overall, f accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.7,17) frames.
Overall, dx accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,7) frames.
Overall, uw accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.1,25) frames.
Overall, hh accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,13) frames.
Overall, ao accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.0,19) frames.
Overall, ow accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,18) frames.
Overall, g accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,9) frames.
Overall, sh accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.4,20) frames.
Overall, ng accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,14) frames.
Overall, jh accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,11) frames.
Overall, epi accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,9) frames.
Overall, y accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
Overall, el accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,15) frames.
Overall, ch accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,14) frames.
Overall, th accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,14) frames.
Overall, aw accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.8,22) frames.
The optional-silence phone sil occupies 12.7% of frames overall 
Limiting the stats to the 88.1% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 0.9% of frames.
Assuming 100 frames per second, the alignments represent 0.2 hours of data, or 0.2 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.4% of utterance-internal phones, with duration (median, mean, 95-percentile) = (11,16.0,35)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Feb 25 15:35:46 EST 2019, elapsed time 0 seconds
